This file was created using the 202512 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,Cnsmr,Manuf,HiTec,Hlth,Other
192607,   5.24,   2.75,   1.82,   1.85,   2.14
192608,   2.77,   2.30,   2.41,   4.17,   4.35
192609,   2.22,  -0.41,   1.06,   0.69,   0.31
192610,  -3.96,  -2.53,  -2.26,  -0.57,  -2.85
192611,   3.71,   2.68,   3.07,   5.43,   2.13
192612,   3.62,   2.71,   1.02,   0.09,   3.46
192701,  -1.18,   0.15,   0.46,   5.07,   1.50
192702,   5.30,   4.00,   4.19,   1.71,   5.07
192703,   1.65,  -1.43,   3.69,   1.01,   1.17
192704,   3.59,  -1.14,   1.34,   2.74,   0.86
192705,   6.16,   5.66,   5.28,   4.13,   6.56
192706,  -2.04,  -3.05,   0.51,   0.54,  -2.17
192707,   8.71,   7.55,   7.68,   9.84,   6.09
192708,   5.23,   2.01,   2.85,   0.27,  -1.01
192709,   5.90,   4.74,   3.94,   5.66,   4.58
192710,  -2.95,  -4.71,  -4.55,   5.14,  -3.83
192711,   7.52,   7.73,   6.51,   3.68,   4.50
192712,   3.63,   1.84,   1.28,  -0.47,   1.95
192801,  -1.24,   0.19,  -0.03,   2.70,  -0.95
192802,  -1.44,  -1.12,  -0.38,  -3.44,  -2.01
192803,  13.85,   7.09,  10.34,   9.94,   5.99
192804,   0.43,   7.72,   2.66,   2.35,   4.33
192805,   3.51,   0.09,   4.36,   9.30,  -0.01
192806,  -4.07,  -4.36,  -5.10,  -3.12,  -4.44
192807,   2.22,   1.03,  -0.29,   2.40,  -0.35
192808,   9.01,   6.29,   7.23,  14.72,   4.75
192809,   3.67,   4.45,   0.42,  -1.14,   1.09
192810,   1.69,   2.39,   2.38,   0.05,  -0.50
192811,   7.80,  16.07,  13.46,   5.05,  10.00
192812,  -0.93,   0.53,   3.84,  -0.46,   0.39
192901,   0.63,   6.07,  11.70,   3.41,   5.59
192902,  -1.48,   1.34,  -1.14,   0.04,   0.04
192903,  -3.63,   1.11,   4.61,  -1.50,  -2.20
192904,   1.09,   2.42,   2.48,   1.48,   0.73
192905,  -9.72,  -5.66,  -3.67,  -7.89,  -0.29
192906,   7.02,  12.32,  15.79,   4.53,   5.80
192907,   0.39,   4.65,  10.97,   2.60,   6.58
192908,   4.95,   9.70,  11.92,   3.13,   7.67
192909,  -5.74,  -4.08,  -5.11,  -7.04,  -6.31
192910, -20.48, -20.56, -22.67, -18.04, -12.07
192911, -12.15, -12.47, -14.84,  -7.85,  -9.43
192912,   0.13,   2.38,   6.13,   1.09,  -0.74
193001,   5.57,   5.32,   6.32,   2.55,   5.13
193002,   0.49,   2.23,   7.45,   2.29,   3.27
193003,   3.88,  10.21,   8.46,   6.37,   4.73
193004,  -1.73,  -1.12,  -0.84,  -1.27,  -6.39
193005,   1.87,  -2.14,  -2.40,  -1.52,  -1.00
193006, -15.72, -16.89, -14.85, -11.93, -11.88
193007,   5.40,   4.66,   2.78,   6.52,   3.42
193008,   1.58,  -0.43,   2.00,   7.77,  -0.38
193009, -11.52, -13.93, -12.40,  -8.75, -10.60
193010,  -7.53,  -8.93, -10.87,  -4.37,  -8.45
193011,   2.04,  -3.73,  -3.26,  -3.11,  -5.17
193012,  -5.85,  -7.85,  -7.10,  -6.92,  -8.89
193101,   6.46,   4.66,   5.00,   8.24,  11.96
193102,  11.36,  12.18,  13.43,   7.83,   5.49
193103,  -2.67,  -7.18,  -5.67,   1.79,  -9.38
193104,  -5.92, -12.29,  -8.49,  -3.62, -10.01
193105, -10.72, -13.82, -10.76, -10.36, -17.39
193106,  11.05,  15.07,  14.09,   9.72,  16.41
193107,  -2.84,  -7.25,  -7.26,   2.61,  -9.91
193108,  -0.33,   1.94,   2.03,   0.39,  -4.02
193109, -28.78, -29.99, -26.89, -29.59, -26.78
193110,  10.07,   9.58,   7.06,  11.27,   2.08
193111,  -5.56,  -7.20,  -9.77,  -2.83, -19.16
193112, -10.89, -15.58, -10.12,  -4.10, -16.15
193201,  -0.39,  -2.20,  -6.74,  -2.66,   7.22
193202,   4.45,   6.94,   9.78,   2.00,  -0.39
193203, -10.31,  -9.99, -11.61,  -6.50, -16.23
193204, -15.93, -18.34, -16.23, -19.77, -22.22
193205, -22.68, -17.84, -16.06, -34.77, -30.65
193206,  -0.76,   1.25,  -5.55,  10.87,  -1.56
193207,  28.50,  35.55,  24.41,  29.21,  55.88
193208,  29.12,  37.32,  33.85,  36.14,  58.75
193209,   1.83,  -5.25,  -1.78, -11.93,  -4.20
193210, -14.58, -11.24, -11.87, -18.56, -18.00
193211,  -6.01,  -6.65,  -3.37,   5.33,  -6.92
193212,   4.14,   4.29,   4.80,   6.78,   4.91
193301,   2.27,  -0.91,   0.64,  -1.14,   8.53
193302, -14.12, -17.20, -11.55, -10.96, -16.44
193303,   9.74,   1.57,  -2.44,  -3.21,   3.65
193304,  43.71,  44.15,  25.09,  37.14,  30.90
193305,  16.48,  22.14,  18.29,  23.66,  31.56
193306,  13.97,  13.01,  10.62,  10.39,  14.55
193307,  -8.18, -12.03,  -6.94, -19.11,  -6.66
193308,  12.06,  13.05,   7.59,  -0.42,  14.61
193309,  -9.85,  -9.97,  -8.88,  -1.34, -16.43
193310,  -9.11,  -7.04,  -8.08,  -6.03, -11.43
193311,  12.08,  10.87,   8.16,   9.45,   5.39
193312,   2.02,   2.27,  -1.93, -11.78,   4.71
193401,  12.54,  11.78,   9.78,  16.79,  18.71
193402,  -2.39,  -3.00,  -1.24,  -3.60,  -1.90
193403,   1.01,  -1.37,   1.99,  -0.64,   0.81
193404,  -0.91,  -2.66,  -1.67,   8.00,  -1.61
193405,  -6.93,  -8.10,  -5.18,  -0.34,  -7.41
193406,   1.78,   3.32,   1.85,   2.03,   3.13
193407,  -8.06, -11.93,  -7.27,  -1.90, -17.49
193408,   5.90,   6.25,   4.05,  -3.07,   4.53
193409,   0.89,  -1.10,   0.99,   0.82,  -0.33
193410,   0.19,  -2.79,  -1.25,  -0.71,  -2.22
193411,  10.98,   9.11,   4.02,   4.06,   5.65
193412,   0.17,   0.38,   1.16,   0.61,  -0.13
193501,  -4.28,  -3.07,   0.21,  -0.86,  -6.73
193502,  -0.19,  -3.47,   0.68,   4.30,  -4.75
193503,  -4.98,  -2.76,  -2.17,  -3.14,  -5.43
193504,   6.14,  11.16,   9.60,   3.18,   8.77
193505,   1.86,   3.78,   5.95,  -4.08,   3.91
193506,   6.71,   5.35,   6.56,   4.08,   6.37
193507,   8.13,   7.18,   7.36,   3.20,   8.13
193508,   2.40,   2.29,   3.71,   0.25,   2.51
193509,   3.88,   1.24,   5.75,   1.10,   0.54
193510,   6.60,   9.03,   5.59,   5.98,   2.45
193511,   2.25,   3.55,   7.97,   1.74,  13.23
193512,   2.66,   6.80,   1.46,   2.35,   4.25
193601,   2.21,   9.07,   5.21,   3.46,  12.41
193602,   1.77,   2.50,   3.73,   3.46,   2.84
193603,   2.92,   1.97,  -1.94,   3.51,  -3.08
193604,  -6.79,  -9.25,  -6.98,  -9.20,  -7.43
193605,   4.97,   4.60,   5.91,   4.80,   7.37
193606,   4.56,   1.73,   1.93,   1.28,   1.78
