filter,D,array_type,first_call_s,time_μs,memory_bytes,allocs
Kalman filter,2,Array,0.010760823,107.934,297600,6400
Bootstrap filter,2,Array,0.061311928,56818.928,111712512,2413589
RBPF,2,Array,0.156445949,147343.594,330464512,6603589
Kalman filter,2,SArray,0.10825751,5.403166666666667,0,0
Bootstrap filter,2,SArray,0.257192018,3760.378,18456512,3589
RBPF,2,SArray,0.266135913,7846.489,34496512,3589
Kalman filter,4,Array,0.000141204,128.344,476800,6400
Bootstrap filter,4,Array,0.064900714,65858.238,148752512,2413589
RBPF,4,Array,0.195177174,200746.397,519264512,6603589
Kalman filter,4,SArray,0.012787188,12.338,0,0
Bootstrap filter,4,SArray,0.006638856,6588.88,24872512,3589
RBPF,4,SArray,0.026640595,19202.845,79408512,3589
Kalman filter,6,Array,0.0002103,161.154,766400,6400
Bootstrap filter,6,Array,0.074459091,77094.7775,195552512,2413589
RBPF,6,Array,0.266441617,396654.805,826464512,6603589
Kalman filter,6,SArray,0.241667055,21.513,0,0
Bootstrap filter,6,SArray,0.364504654,11086.377,31288512,3589
RBPF,6,SArray,0.304527672,33460.836,149984512,3589
Kalman filter,10,Array,0.000350191,262.6135,1712000,6400
Bootstrap filter,10,Array,0.115683771,116350.674,343968512,2413589
RBPF,10,Array,0.968872153,1.096045353e6,1828064512,6603589
Kalman filter,10,SArray,0.602343778,66.641,0,0
Bootstrap filter,10,SArray,0.478544589,19528.891,44120512,3589
RBPF,10,SArray,0.389948631,96453.3035,368128512,3589
Kalman filter,16,Array,0.00076401,510.635,3773600,7700
Bootstrap filter,16,Array,0.610902698,204222.141,653696512,2615589
RBPF,16,Array,2.065939037,2.077745426e6,4008864512,8003589
Kalman filter,16,SArray,1.696531422,195.296,0,0
Bootstrap filter,16,SArray,0.781320293,40430.444,63368512,3589
RBPF,16,SArray,1.039705051,695354.066,887824512,3589
Kalman filter,24,Array,0.001226812,966.226,8135200,8100
Bootstrap filter,24,Array,0.323329299,338499.0885,1286208512,2615589
RBPF,24,Array,5.365877036,5.381604927e6,8626464512,8403589
Kalman filter,24,SArray,4.986802498,566.67,0,0
Bootstrap filter,24,SArray,2.034180325,88454.814,89032512,3589
RBPF,24,SArray,2.197321454,1.726952403e6,1940048512,3589
Kalman filter,32,Array,0.002144675,1762.395,14137600,8800
Bootstrap filter,32,Array,0.935309943,898208.141,2139168512,2715589
RBPF,32,Array,11.097055911,1.102888332e7,14987264512,9103589
Kalman filter,32,SArray,13.226638851,1426.345,0,0
Bootstrap filter,32,SArray,5.591842276,921566.734,1787256512,609589
RBPF,32,SArray,4.461974729,3.535704246e6,3402896512,3589
